Marque;Modele;Annee_Debut;Annee_Fin;Cylindree;Moteur;Puissance;Categorie_Piece;Nom_Piece;Reference_Interne
Hyundai;i10 II;2013;2019;1.2L;1.2 MPi;87 ch;Filtration;Filtre à carburant;HYU-I10-FUEL-2013
Hyundai;i10 II;2013;2019;1.2L;1.2 MPi;87 ch;Freinage;Plaquettes de frein avant;HYU-I10-BRK-F-2013
Hyundai;i10 II;2013;2019;1.2L;1.2 MPi;87 ch;Freinage;Disques de frein avant;HYU-I10-DSC-F-2013
Hyundai;i10 II;2013;2019;1.2L;1.2 MPi;87 ch;Freinage;Plaquettes de frein arrière;HYU-I10-BRK-R-2013
Hyundai;i10 II;2013;2019;1.2L;1.2 MPi;87 ch;Suspension;Amortisseurs avant;HYU-I10-SHK-F-2013
Hyundai;i10 II;2013;2019;1.2L;1.2 MPi;87 ch;Moteur;Kit de distribution;HYU-I10-BELT-2013
Hyundai;i10 II;2013;2019;1.2L;1.2 MPi;87 ch;Moteur;Bougies;HYU-I10-SPK-2013
Hyundai;i10 II;2013;2019;1.2L;1.2 MPi;87 ch;Eclairage;Phare avant droit;HYU-I10-LGT-FR-2013
Hyundai;i10 II;2013;2019;1.2L;1.2 MPi;87 ch;Carrosserie;Pare-chocs avant;HYU-I10-BMP-F-2013
Hyundai;i20 II;2014;2020;1.2L;1.2 MPi;84 ch;Filtration;Filtre à huile;HYU-I20-OIL-2014
Hyundai;i20 II;2014;2020;1.2L;1.2 MPi;84 ch;Filtration;Filtre à air;HYU-I20-AIR-2014
Hyundai;i20 II;2014;2020;1.2L;1.2 MPi;84 ch;Filtration;Filtre à carburant;HYU-I20-FUEL-2014
Hyundai;i20 II;2014;2020;1.2L;1.2 MPi;84 ch;Freinage;Plaquettes de frein avant;HYU-I20-BRK-F-2014
Hyundai;i20 II;2014;2020;1.2L;1.2 MPi;84 ch;Freinage;Disques de frein avant;HYU-I20-DSC-F-2014
Hyundai;i20 II;2014;2020;1.2L;1.2 MPi;84 ch;Freinage;Plaquettes de frein arrière;HYU-I20-BRK-R-2014
Hyundai;i20 II;2014;2020;1.2L;1.2 MPi;84 ch;Suspension;Amortisseurs avant;HYU-I20-SHK-F-2014
Hyundai;i20 II;2014;2020;1.2L;1.2 MPi;84 ch;Moteur;Kit de distribution;HYU-I20-BELT-2014
Hyundai;i20 II;2014;2020;1.2L;1.2 MPi;84 ch;Moteur;Bougies;HYU-I20-SPK-2014
Hyundai;i20 II;2014;2020;1.2L;1.2 MPi;84 ch;Eclairage;Phare avant droit;HYU-I20-LGT-FR-2014
Hyundai;i20 II;2014;2020;1.2L;1.2 MPi;84 ch;Carrosserie;Pare-chocs avant;HYU-I20-BMP-F-2014
Hyundai;i20 II;2014;2020;1.4L;1.4 CRDi;90 ch;Filtration;Filtre à huile;HYU-I20-OIL-2014
Hyundai;i20 II;2014;2020;1.4L;1.4 CRDi;90 ch;Filtration;Filtre à air;HYU-I20-AIR-2014
Hyundai;i20 II;2014;2020;1.4L;1.4 CRDi;90 ch;Filtration;Filtre à carburant;HYU-I20-FUEL-2014
Hyundai;i20 II;2014;2020;1.4L;1.4 CRDi;90 ch;Freinage;Plaquettes de frein avant;HYU-I20-BRK-F-2014
Hyundai;i20 II;2014;2020;1.4L;1.4 CRDi;90 ch;Freinage;Disques de frein avant;HYU-I20-DSC-F-2014
Hyundai;i20 II;2014;2020;1.4L;1.4 CRDi;90 ch;Freinage;Plaquettes de frein arrière;HYU-I20-BRK-R-2014
Hyundai;i20 II;2014;2020;1.4L;1.4 CRDi;90 ch;Suspension;Amortisseurs avant;HYU-I20-SHK-F-2014
Hyundai;i20 II;2014;2020;1.4L;1.4 CRDi;90 ch;Moteur;Kit de distribution;HYU-I20-BELT-2014
Hyundai;i20 II;2014;2020;1.4L;1.4 CRDi;90 ch;Moteur;Bougies;HYU-I20-SPK-2014
Hyundai;i20 II;2014;2020;1.4L;1.4 CRDi;90 ch;Eclairage;Phare avant droit;HYU-I20-LGT-FR-2014
Hyundai;i20 II;2014;2020;1.4L;1.4 CRDi;90 ch;Carrosserie;Pare-chocs avant;HYU-I20-BMP-F-2014
Hyundai;Sonata VII;2014;2019;2.0L;2.0 CVVL;168 ch;Filtration;Filtre à huile;HYU-SON-OIL-2014
Hyundai;Sonata VII;2014;2019;2.0L;2.0 CVVL;168 ch;Filtration;Filtre à air;HYU-SON-AIR-2014
Hyundai;Sonata VII;2014;2019;2.0L;2.0 CVVL;168 ch;Filtration;Filtre à carburant;HYU-SON-FUEL-2014
Hyundai;Sonata VII;2014;2019;2.0L;2.0 CVVL;168 ch;Freinage;Plaquettes de frein avant;HYU-SON-BRK-F-2014
Hyundai;Sonata VII;2014;2019;2.0L;2.0 CVVL;168 ch;Freinage;Disques de frein avant;HYU-SON-DSC-F-2014
Hyundai;Sonata VII;2014;2019;2.0L;2.0 CVVL;168 ch;Freinage;Plaquettes de frein arrière;HYU-SON-BRK-R-2014
Hyundai;Sonata VII;2014;2019;2.0L;2.0 CVVL;168 ch;Suspension;Amortisseurs avant;HYU-SON-SHK-F-2014
Hyundai;Sonata VII;2014;2019;2.0L;2.0 CVVL;168 ch;Moteur;Kit de distribution;HYU-SON-BELT-2014
Hyundai;Sonata VII;2014;2019;2.0L;2.0 CVVL;168 ch;Moteur;Bougies;HYU-SON-SPK-2014
Hyundai;Sonata VII;2014;2019;2.0L;2.0 CVVL;168 ch;Eclairage;Phare avant droit;HYU-SON-LGT-FR-2014
Hyundai;Sonata VII;2014;2019;2.0L;2.0 CVVL;168 ch;Carrosserie;Pare-chocs avant;HYU-SON-BMP-F-2014
Hyundai;Sonata VII;2014;2019;2.4L;2.4 GDI;185 ch;Filtration;Filtre à huile;HYU-SON-OIL-2014
Hyundai;Sonata VII;2014;2019;2.4L;2.4 GDI;185 ch;Filtration;Filtre à air;HYU-SON-AIR-2014
Hyundai;Sonata VII;2014;2019;2.4L;2.4 GDI;185 ch;Filtration;Filtre à carburant;HYU-SON-FUEL-2014
Hyundai;Sonata VII;2014;2019;2.4L;2.4 GDI;185 ch;Freinage;Plaquettes de frein avant;HYU-SON-BRK-F-2014
Hyundai;Sonata VII;2014;2019;2.4L;2.4 GDI;185 ch;Freinage;Disques de frein avant;HYU-SON-DSC-F-2014
Hyundai;Sonata VII;2014;2019;2.4L;2.4 GDI;185 ch;Freinage;Plaquettes de frein arrière;HYU-SON-BRK-R-2014
Hyundai;Sonata VII;2014;2019;2.4L;2.4 GDI;185 ch;Suspension;Amortisseurs avant;HYU-SON-SHK-F-2014
Hyundai;Sonata VII;2014;2019;2.4L;2.4 GDI;185 ch;Moteur;Kit de distribution;HYU-SON-BELT-2014
Hyundai;Sonata VII;2014;2019;2.4L;2.4 GDI;185 ch;Moteur;Bougies;HYU-SON-SPK-2014
Hyundai;Sonata VII;2014;2019;2.4L;2.4 GDI;185 ch;Eclairage;Phare avant droit;HYU-SON-LGT-FR-2014
Hyundai;Sonata VII;2014;2019;2.4L;2.4 GDI;185 ch;Carrosserie;Pare-chocs avant;HYU-SON-BMP-F-2014
Ford;Ranger T6;2011;2015;2.2L;2.2 TDCi;150 ch;Filtration;Filtre à huile;FOR-RAN-OIL-2011
Ford;Ranger T6;2011;2015;2.2L;2.2 TDCi;150 ch;Filtration;Filtre à air;FOR-RAN-AIR-2011
Ford;Ranger T6;2011;2015;2.2L;2.2 TDCi;150 ch;Filtration;Filtre à carburant;FOR-RAN-FUEL-2011
Ford;Ranger T6;2011;2015;2.2L;2.2 TDCi;150 ch;Freinage;Plaquettes de frein avant;FOR-RAN-BRK-F-2011
Ford;Ranger T6;2011;2015;2.2L;2.2 TDCi;150 ch;Freinage;Disques de frein avant;FOR-RAN-DSC-F-2011
Ford;Ranger T6;2011;2015;2.2L;2.2 TDCi;150 ch;Freinage;Plaquettes de frein arrière;FOR-RAN-BRK-R-2011
Ford;Ranger T6;2011;2015;2.2L;2.2 TDCi;150 ch;Suspension;Amortisseurs avant;FOR-RAN-SHK-F-2011
Ford;Ranger T6;2011;2015;2.2L;2.2 TDCi;150 ch;Moteur;Kit de distribution;FOR-RAN-BELT-2011
Ford;Ranger T6;2011;2015;2.2L;2.2 TDCi;150 ch;Moteur;Bougies;FOR-RAN-SPK-2011
Ford;Ranger T6;2011;2015;2.2L;2.2 TDCi;150 ch;Eclairage;Phare avant droit;FOR-RAN-LGT-FR-2011
Ford;Ranger T6;2011;2015;2.2L;2.2 TDCi;150 ch;Carrosserie;Pare-chocs avant;FOR-RAN-BMP-F-2011
Ford;Ranger T6;2011;2015;3.2L;3.2 TDCi 4x4;200 ch;Filtration;Filtre à huile;FOR-RAN-OIL-2011
Ford;Ranger T6;2011;2015;3.2L;3.2 TDCi 4x4;200 ch;Filtration;Filtre à air;FOR-RAN-AIR-2011
Ford;Ranger T6;2011;2015;3.2L;3.2 TDCi 4x4;200 ch;Filtration;Filtre à carburant;FOR-RAN-FUEL-2011
Ford;Ranger T6;2011;2015;3.2L;3.2 TDCi 4x4;200 ch;Freinage;Plaquettes de frein avant;FOR-RAN-BRK-F-2011
Ford;Ranger T6;2011;2015;3.2L;3.2 TDCi 4x4;200 ch;Freinage;Disques de frein avant;FOR-RAN-DSC-F-2011
Ford;Ranger T6;2011;2015;3.2L;3.2 TDCi 4x4;200 ch;Freinage;Plaquettes de frein arrière;FOR-RAN-BRK-R-2011
